keyword,definition,merged
OUTGOING LONGWAVE RADIATION,"The outgoing longwave radiation (OLR) refers specifically to theradiation emitted by the Earth and its atmosphere (the terrestrialradiation). Satellite measurements of the OLR from terrestrial surfacesand clouds show that OLR is low over cold land and high clouds and highover hot land surfaces. Climate variations, such as El Nino SouthernOscillation (ENSO) can be measured from OLR anomalies from longer-termvariations.","Label: OUTGOING LONGWAVE RADIATION
Definition: The outgoing longwave radiation (OLR) refers specifically to theradiation emitted by the Earth and its atmosphere (the terrestrialradiation). Satellite measurements of the OLR from terrestrial surfacesand clouds show that OLR is low over cold land and high clouds and highover hot land surfaces. Climate variations, such as El Nino SouthernOscillation (ENSO) can be measured from OLR anomalies from longer-termvariations."
ATMOSPHERIC RADIATION,"Radiation budget refers to the difference between the absorbed solarradiation and the net infrared radiation. The radiation budget takes intoaccount the sum of all radiation, transferred in all directions, throughthe Earth's atmosphere and to and from space. The radiation budget (orradiation balance) controls the Earth's temperature and rainfall.","Label: ATMOSPHERIC RADIATION
Definition: Radiation budget refers to the difference between the absorbed solarradiation and the net infrared radiation. The radiation budget takes intoaccount the sum of all radiation, transferred in all directions, throughthe Earth's atmosphere and to and from space. The radiation budget (orradiation balance) controls the Earth's temperature and rainfall."
CONVECTIVE PRECIPITATION,The instantaneous convective precipitation rate at the surface,"Label: CONVECTIVE PRECIPITATION
Definition: The instantaneous convective precipitation rate at the surface"
ACOUSTIC ATTENUATION/TRANSMISSION,"Attenuation: Diminution of the intensity of acoustical energy propagatingthrough a medium with the distance traveled, through absorption andscattering. Transmission: Propagation or the motion of waves through oralong a medium.","Label: ACOUSTIC ATTENUATION/TRANSMISSION
Definition: Attenuation: Diminution of the intensity of acoustical energy propagatingthrough a medium with the distance traveled, through absorption andscattering. Transmission: Propagation or the motion of waves through oralong a medium."
OCEAN ACOUSTICS,Scientific field of study pertaining to sound propagation in themarine environment.  Variables include measurements of the characteristicsof sound.,"Label: OCEAN ACOUSTICS
Definition: Scientific field of study pertaining to sound propagation in themarine environment.  Variables include measurements of the characteristicsof sound."
POINT BAR,A depositional feature of streams. Point bars are found in abundance in mature or meandering streams.,"Label: POINT BAR
Definition: A depositional feature of streams. Point bars are found in abundance in mature or meandering streams."
SEISMIC SURFACE WAVES,"Pertaining to the measurement of shock-waves on the surface of the Earth, either generated through an earthquake, or a man-made source.","Label: SEISMIC SURFACE WAVES
Definition: Pertaining to the measurement of shock-waves on the surface of the Earth, either generated through an earthquake, or a man-made source."
SEISMIC PROFILE,Pertaining to the data collected on a seismic survey in order to examine the subsurface structure of the Earth.,"Label: SEISMIC PROFILE
Definition: Pertaining to the data collected on a seismic survey in order to examine the subsurface structure of the Earth."
TROPICAL CYCLONE RADIUS,The distance from the center of a tropical cyclone to its perimeter.,"Label: TROPICAL CYCLONE RADIUS
Definition: The distance from the center of a tropical cyclone to its perimeter."
MAXIMUM WIND GUST,Maximum wind gust recorded from a tropical cyclone.,"Label: MAXIMUM WIND GUST
Definition: Maximum wind gust recorded from a tropical cyclone."
TROPICAL DEPRESSION MOTION,Change in Tropical Depression's position with respect to time.,"Label: TROPICAL DEPRESSION MOTION
Definition: Change in Tropical Depression's position with respect to time."
TROPICAL DEPRESSION TRACK,"Tropical Depression path, route, or course.","Label: TROPICAL DEPRESSION TRACK
Definition: Tropical Depression path, route, or course."
TROPICAL STORM FORCE WIND EXTENT,The extent of a tropical storm's wind field.,"Label: TROPICAL STORM FORCE WIND EXTENT
Definition: The extent of a tropical storm's wind field."
SAFFIR-SIMPSON SCALE AT LANDFALL (CATEGORY 3),Category 3 on the Saffir-Simpson Hurricane Wind Scale.  Sustained Winds 111-129 mph96-112 kt 178-208 km/h,"Label: SAFFIR-SIMPSON SCALE AT LANDFALL (CATEGORY 3)
Definition: Category 3 on the Saffir-Simpson Hurricane Wind Scale.  Sustained Winds 111-129 mph96-112 kt 178-208 km/h"
MAXIMUM SURFACE WIND,Maximum wind recorded from a tropical cyclone at the Earth's surface.,"Label: MAXIMUM SURFACE WIND
Definition: Maximum wind recorded from a tropical cyclone at the Earth's surface."
ACCUMULATED CYCLONE ENERGY,"Accumulated cyclone energy (ACE) is a measure used by the National Oceanic and Atmospheric Administration (NOAA) to express the activity of individual tropical cyclones and entire tropical cyclone seasons, particularly the Atlantic hurricane seasons. It uses an approximation of the energy used by a tropical system over its lifetime and is calculated every six-hour period. The ACE of a season is the sum of the ACEs for each storm and takes into account the number, strength, and duration of all the tropical storms in the season.","Label: ACCUMULATED CYCLONE ENERGY
Definition: Accumulated cyclone energy (ACE) is a measure used by the National Oceanic and Atmospheric Administration (NOAA) to express the activity of individual tropical cyclones and entire tropical cyclone seasons, particularly the Atlantic hurricane seasons. It uses an approximation of the energy used by a tropical system over its lifetime and is calculated every six-hour period. The ACE of a season is the sum of the ACEs for each storm and takes into account the number, strength, and duration of all the tropical storms in the season."
